element,name,GW,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,transfers_in,transfers_out,transfers_balance,selected,value,round,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,position,team,opponent_team,was_home,kickoff_time,fixture,team_h_score,team_a_score
320,Akpom,1,1,24,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.0,0.0,0.0,0.03,0,4046,5235,-1189.0,0.5,50.0,1,1.4,0.0,2.0,0,2,1,FWD,Ipswich Town,Sunderland,True,2026-08-22T14:00:00Z,8,2.0,1.0
321,Walle Egeli,1,1,10,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.03,0,32952,19493,13459.0,2.4,45.0,1,0.0,0.1,0.0,0,0,0,FWD,Ipswich Town,Sunderland,True,2026-08-22T14:00:00Z,8,2.0,1.0
322,Al-Hamadi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,755,2231,-1476.0,0.1,50.0,1,0.0,0.0,0.0,0,0,0,FWD,Ipswich Town,Sunderland,True,2026-08-22T14:00:00Z,8,2.0,1.0
323,McAteer,1,1,24,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0.0,0.0,0.0,0.03,0,4922,9790,-4868.0,1.4,45.0,1,1.2,1.3,0.0,0,2,1,MID,Ipswich Town,Sunderland,True,2026-08-22T14:00:00Z,8,2.0,1.0
554,Van Oevelen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,54,528,-474.0,0.0,45.0,1,0.0,0.0,0.0,0,0,0,GK,Ipswich Town,Sunderland,True,2026-08-22T14:00:00Z,8,2.0,1.0
562,Maeda,1,2,79,0,0,0,1,0,0,0,0,0,0,0,7,2.1,0.61,0.0,0.61,0.63,1,675,3223,-2548.0,0.4,55.0,1,12.6,1.4,7.0,3,2,4,MID,Ipswich Town,Sunderland,True,2026-08-22T14:00:00Z,8,2.0,1.0
564,Scherpen,1,2,90,0,0,0,1,0,0,0,0,0,2,0,12,1.4,0.0,0.0,0.0,0.66,1,1159,2716,-1557.0,0.6,45.0,1,14.4,0.0,0.0,1,10,0,GK,Ipswich Town,Sunderland,True,2026-08-22T14:00:00Z,8,2.0,1.0
571,Florentino,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,202,1686,-1484.0,0.1,50.0,1,0.0,0.0,0.0,0,0,0,MID,Ipswich Town,Sunderland,True,2026-08-22T14:00:00Z,8,2.0,1.0
591,Enciso,1,5,70,0,1,0,1,0,0,0,0,0,0,0,24,5.4,0.23,0.31,0.54,0.63,1,14160,3719,10441.0,0.4,55.0,1,21.6,14.0,18.0,2,5,1,MID,Ipswich Town,Sunderland,True,2026-08-22T14:00:00Z,8,2.0,1.0
592,Ouattara,1,1,10,0,0,0,0,0,0,0,0,0,0,0,4,1.5,0.0,0.0,0.0,0.03,0,2525,4839,-2314.0,1.0,40.0,1,5.2,10.0,0.0,2,0,0,DEF,Ipswich Town,Sunderland,True,2026-08-22T14:00:00Z,8,2.0,1.0
